NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-1901.8,0,13895.2,0.0657315,0,39.763,0.0636066564,157.5,0.0672503,0,40.7,0.0630208079,196.306,76.0334,-11.638,677.419,11,0,21,0,12,0,22,0,0
102,13,1,1,-1779.4,0,13895.2,0.0661584,0,41,0.0637936149,197.456,0.0665091,0,42,0.0606538485,145.197,76.7353,-383.156,681.113,11,1,21,1,12,1,22,1,0
103,13,1,1,-1657,0,13895.2,0.0658469,0,39.7,0.0629939116,237.624,0.0649129,0,40.7,0.0596258478,115.883,77.0258,-444.361,680.803,11,2,21,2,12,2,22,2,0
104,13,1,1,-1534.6,0,13895.2,0.0652608,0,40.7,0.0613671998,285.818,0.065639,0,39.7,0.061598449,152.398,76.2735,-198.215,680.152,11,3,21,3,12,3,22,3,0
105,13,1,1,-1412.2,0,13895.2,0.0657675,0,39.7,0.0617167755,183.438,0.0654137,0,40,0.0609275921,213.15,76.6097,-11.422,681.68,11,4,21,4,12,4,22,4,0
106,13,1,1,-1289.8,0,13895.2,0.0642169,0,40.7,0.0600339192,238.518,0.0665091,0,39.7,0.0607219844,176.883,76.6178,-410.612,682.298,11,5,21,5,12,5,22,5,0
107,13,1,1,-1167.4,0,13895.2,0.0643586,0,39.973,0.0639203297,185.034,0.0656018,0,40,0.0621050507,236.517,76.4452,-442.246,681.673,11,6,21,6,12,6,22,6,0
108,13,1,1,-1045,0,13895.2,0.0644868,0,40.673,0.0666734451,185.915,0.0669849,0,40,0.063389433,236.004,75.6565,-7.5068,681.577,11,7,21,7,12,7,22,7,0
109,13,1,1,-922.6,0,13895.2,0.0640943,0,40.09,0.0627956301,227.068,0.0658355,0,40,0.0625066413,200.865,75.8796,-718.036,681.622,11,8,21,8,12,8,22,8,0
110,13,1,1,-800.2,0,13895.2,0.0651349,0,40.673,0.0613271189,173,0.0655467,0,40,0.0577832608,160.299,76.2122,-90.01,682.431,11,9,21,9,12,9,22,9,0
111,13,1,1,-677.8,0,13895.2,0.0654307,0,40,0.0617422108,223.08,0.0663837,0,39.4,0.0581208652,164.313,76.9481,-82.8704,679.99,11,10,21,10,12,10,22,10,0
112,13,1,1,-555.4,0,13895.2,0.0647674,0,42,0.0628439726,263.244,0.0661865,0,39.7,0.0613783114,127.395,76.2243,-114.141,681.931,11,11,21,11,12,11,22,11,0
113,13,1,1,-433,0,13895.2,0.0654226,0,39.7,0.0629290978,232.939,0.0668297,0,40.7,0.0618603256,188.096,76.7545,-550.552,681.787,11,12,21,12,12,12,22,12,0
114,13,1,1,-310.6,0,13895.2,0.0656288,0,41,0.0625442696,186.413,0.0656196,0,40,0.0600321983,98.2439,76.4934,-201.612,681.439,11,13,21,13,12,13,22,13,0
115,13,1,1,-188.2,0,13895.2,0.0644971,0,39.79,0.0650034452,247.087,0.0665314,0,40.7,0.0605617404,236.586,75.9701,-225.394,680.374,11,14,21,14,12,14,22,14,0
116,13,1,1,-65.8,0,13895.2,0.0638575,0,41.7,0.0621352467,229.294,0.0647942,0,40.7,0.0604470665,108.105,76.7221,452.839,680.374,11,16,21,16,12,16,22,16,0
117,13,1,1,56.6,0,13895.2,0.0647154,0,41.79,0.0593233285,119.61,0.0658342,0,40.09,0.0627272884,118.832,76.736,602.134,680.005,11,17,21,17,12,17,22,17,0
118,13,1,1,179,0,13895.2,0.063714,0,40.036,0.0609902065,108.136,0.0651723,0,40,0.0618887519,168.964,76.2576,272.16,678,11,18,21,18,12,18,22,18,0
119,13,1,1,301.4,0,13895.2,0.0648739,0,42.43,0.0623142451,84.7362,0.0647241,0,40.58,0.0595653102,89.4042,76.9125,81.129,679.642,11,19,21,19,12,19,22,19,0
120,13,1,1,423.8,0,13895.2,0.0655057,0,40,0.0601198188,134.203,0.0660417,0,41,0.0632669136,166.074,76.1211,599.734,682.123,11,20,21,20,12,20,22,20,0
121,13,1,1,546.2,0,13895.2,0.0647723,0,40.763,0.0588080491,161.013,0.066488,0,40.79,0.0588894336,110.883,76.7259,638.5883,681.901,11,21,21,21,12,21,22,21,0
122,13,1,1,668.6,0,13895.2,0.0650804,0,42.673,0.0600938967,195.18,0.0660321,0,40,0.0586954353,138.396,76.4144,584.436,680.896,11,22,21,22,12,22,22,22,0
123,13,1,1,791,0,13895.2,0.0646654,0,40.673,0.0632457064,178.251,0.0653773,0,40,0.0620516766,137.212,76.4787,640.875,683.257,11,23,21,23,12,23,22,23,0
124,13,1,1,913.4,0,13895.2,0.0644825,0,41,0.0621285875,198.337,0.0661857,0,41,0.0581726798,165.542,76.3894,209.9862,680.768,11,24,21,24,12,24,22,24,0
125,13,1,1,1035.8,0,13895.2,0.0648843,0,40,0.0557227237,161.758,0.0644323,0,40,0.0586883219,91.1434,76.5439,528.2622,683.067,11,25,21,25,12,25,22,25,0
126,13,1,1,1158.2,0,13895.2,0.0659963,0,41.973,0.0618227511,212.17,0.0667802,0,41,0.0607673519,99.9958,76.0776,142.3959,681.085,11,26,21,26,12,26,22,26,0
127,13,1,1,1280.6,0,13895.2,0.0647406,0,39.973,0.0617738675,110.004,0.0658696,0,41,0.052978308,143.705,76.6939,357.2018,679.902,11,27,21,27,12,27,22,27,0
128,13,1,1,1403,0,13895.2,0.0640898,0,41,0.0644015566,269.064,0.0657125,0,40,0.0630838211,155.656,77.0219,494.7673,681.443,11,28,21,28,12,28,22,28,0
129,13,1,1,1525.4,0,13895.2,0.0640712,0,41.09,0.0639913996,150.715,0.0663758,0,41.09,0.0624352235,178.93,76.9505,404.529,679.731,11,29,21,29,12,29,22,29,0
130,13,1,1,1647.8,0,13895.2,0.0645045,0,41,0.060247043,189.578,0.0649002,0,40,0.0623740823,257.692,76.4665,740.091,682.08,11,30,21,30,12,30,22,30,0
201,13,1,2,-1901.8,0,14025.2,0.0647505,0,40.973,0.0618031693,165.746,0.0662762,0,41,0.0609364098,221.259,76.269,-391.835,683.035,13,0,23,0,14,0,24,0,0
202,13,1,2,-1779.4,0,14025.2,0.0651847,0,40,0.0606139588,179.878,0.0659157,0,41,0.0623094693,148.597,76.5615,148.155,682.482,13,1,23,1,14,1,24,1,0
203,13,1,2,-1657,0,14025.2,0.0650457,0,41,0.06000015,192.295,0.0654023,0,41,0.0626191721,208.933,76.9129,584.316,683.477,13,2,23,2,14,2,24,2,0
204,13,1,2,-1534.6,0,14025.2,0.0648871,0,40.973,0.0626768663,152.369,0.0660757,0,40,0.0606228145,95.4164,76.2613,-149.055,682.141,13,3,23,3,14,3,24,3,0
205,13,1,2,-1412.2,0,14025.2,0.0647907,0,40.673,0.0607271469,215.451,0.0645188,0,40,0.0616352763,170.616,76.3555,167.3301,682.873,13,4,23,4,14,4,24,4,0
206,13,1,2,-1289.8,0,14025.2,0.0651567,0,39.7,0.0583961213,166.306,0.066297,0,39.1,0.0601008492,104.879,76.1631,-180.555,684.074,13,5,23,5,14,5,24,5,0
207,13,1,2,-1167.4,0,14025.2,0.0652872,0,41.09,0.0602632903,203.404,0.0657517,0,41.09,0.0575182872,124.379,76.4935,-42.276,684.088,13,6,23,6,14,6,24,6,0
208,13,1,2,-1045,0,14025.2,0.0657866,0,40.7,0.0636818962,222.687,0.065672,0,40.7,0.0552416831,81.7251,76.6721,98.344,683.129,13,7,23,7,14,7,24,7,0
209,13,1,2,-922.6,0,14025.2,0.064348,0,39.973,0.0614036569,234.481,0.0650879,0,40.4,0.0601691053,143.706,76.5435,262.257,684.125,13,8,23,8,14,8,24,8,0
210,13,1,2,-800.2,0,14025.2,0.06366,0,39.673,0.0643430255,212.114,0.0661848,0,40,0.0626748039,137.432,75.9474,-434.308,685.752,13,9,23,9,14,9,24,9,0
211,13,1,2,-677.8,0,14025.2,0.0656784,0,40,0.0655454033,235.841,0.0653527,0,40,0.0590485216,250.907,76.261,-77.9107,682.05,13,10,23,10,14,10,24,10,0
212,13,1,2,-555.4,0,14025.2,0.0651685,0,40,0.0665634933,158.876,0.0652872,0,41,0.0620290637,177.701,76.3937,-103.581,687.017,13,11,23,11,14,11,24,11,0
213,13,1,2,-433,0,14025.2,0.0655347,0,39.673,0.0605332373,121.342,0.0661116,0,41,0.0626104487,209.554,76.4934,-48.7085,687.521,13,12,23,12,14,12,24,12,0
214,13,1,2,-310.6,0,14025.2,0.0651359,0,40.063,0.0618731477,157.157,0.0651954,0,41.09,0.0603598655,164.339,75.6214,-3.3276,687.505,13,13,23,13,14,13,24,13,0
215,13,1,2,-188.2,0,14025.2,0.0651536,0,41.09,0.0641964926,210.072,0.0658799,0,42,0.064806294,252.826,76.7348,-243.151,683.535,13,14,23,14,14,14,24,14,0
216,13,1,2,-65.8,0,14025.2,0.0647141,0,40.4,0.060975145,129.882,0.0667045,0,41,0.0633134793,180.172,75.9857,-167.489,680.075,13,16,23,16,14,16,24,16,0
217,13,1,2,56.6,0,14025.2,0.0655327,0,40.973,0.0578816754,110.401,0.0660779,0,40,0.0622676638,163.259,76.5529,-477.269,680.427,13,17,23,17,14,17,24,17,0
218,13,1,2,179,0,14025.2,0.0660054,0,39.973,0.0610648799,116.542,0.0662933,0,41,0.0605894444,152.667,76.5536,-592.781,681.128,13,18,23,18,14,18,24,18,0
219,13,1,2,301.4,0,14025.2,0.0654032,0,40,0.065320733,163.778,0.0662475,0,40,0.0606225022,188.753,77.1922,-498.377,682.285,13,19,23,19,14,19,24,19,0
220,13,1,2,423.8,0,14025.2,0.0650806,0,40,0.0628524648,225.152,0.0660205,0,40,0.0623311216,152.088,77.0229,-456.752,683.498,13,20,23,20,14,20,24,20,0
221,13,1,2,546.2,0,14025.2,0.0651618,0,38.8,0.0624212907,183.543,0.0663812,0,40,0.0647299467,197.287,76.7332,-150.876,682.287,13,21,23,21,14,21,24,21,0
222,13,1,2,668.6,0,14025.2,0.0645814,0,41,0.0673448291,276.407,0.064693,0,41,0.0603205434,259.935,76.9542,-72.898,681.528,13,22,23,22,14,22,24,22,0
223,13,1,2,791,0,14025.2,0.0663985,0,41,0.0638181438,201.585,0.0670234,0,40,0.062866492,212.843,76.7411,-359.215,684.094,13,23,23,23,14,23,24,23,0
224,13,1,2,913.4,0,14025.2,0.0653322,0,39.973,0.0616776633,179.335,0.06716,0,39.4,0.0607004222,126.355,76.3113,-588.064,683.658,13,24,23,24,14,24,24,24,0
225,13,1,2,1035.8,0,14025.2,0.0650075,0,40.763,0.0611698427,128.723,0.0655625,0,39.4,0.0598035155,213.222,76.3201,-263.794,680.936,13,25,23,25,14,25,24,25,0
226,13,1,2,1158.2,0,14025.2,0.0651058,0,40,0.0616058489,173.354,0.0649285,0,40,0.0610365533,236.985,76.4441,-707.377,685.122,13,26,23,26,14,26,24,26,0
227,13,1,2,1280.6,0,14025.2,0.0639664,0,41,0.0665972945,165.405,0.0668905,0,40,0.0620896264,205.045,76.6528,-441.1,684.545,13,27,23,27,14,27,24,27,0
228,13,1,2,1403,0,14025.2,0.0645835,0,40.973,0.0649703979,220.254,0.0665105,0,39.7,0.0633928487,222.993,76.7864,-448.871,681.844,13,28,23,28,14,28,24,28,0
229,13,1,2,1525.4,0,14025.2,0.066753,0,40,0.0615132884,202.203,0.065786,0,41,0.0531032828,93.2229,76.7403,-560.16,682.55,13,29,23,29,14,29,24,29,0
230,13,1,2,1647.8,0,14025.2,0.0645747,0,40.09,0.0614111986,294.846,0.0664654,0,41.1,0.0639766613,196.506,77.0902,-457.764,682.357,13,30,23,30,14,30,24,30,0
301,13,2,1,-1901.8,0,14741.2,0.0646318,0,41,0.0644356884,250.324,0.0650934,0,40,0.0626478097,160.639,76.071,492.6,686.694,15,0,25,0,16,0,26,0,0
302,13,2,1,-1779.4,0,14741.2,0.0653857,0,40.736,0.0650795923,308.09,0.065774,0,40,0.0571262905,149.051,75.9852,-90.719,688.988,15,1,25,1,16,1,26,1,0
303,13,2,1,-1657,0,14741.2,0.0642758,0,40.973,0.0627766094,250.031,0.0672243,0,41,0.058880635,85.5445,75.8388,-154.393,686.302,15,2,25,2,16,2,26,2,0
304,13,2,1,-1534.6,0,14741.2,0.0646904,0,39.79,0.0617702425,100.429,0.0659637,0,40.09,0.0610445641,113.197,75.8833,50.75,689.101,15,3,25,3,16,3,26,3,0
305,13,2,1,-1412.2,0,14741.2,0.0650805,0,40.09,0.0615295634,214.933,0.065928,0,41,0.0599889021,177.775,76.0842,286.1961,688.723,15,4,25,4,16,4,26,4,0
306,13,2,1,-1289.8,0,14741.2,0.065359,0,40.7,0.062605843,159.532,0.0662658,0,41,0.0619879217,167.91,75.6203,-271.151,690.354,15,5,25,5,16,5,26,5,0
307,13,2,1,-1167.4,0,14741.2,0.0648638,0,40.79,0.0645336156,242.802,0.065262,0,39.7,0.0602474967,125.839,75.7656,79.7022,686.797,15,6,25,6,16,6,26,6,0
308,13,2,1,-1045,0,14741.2,0.0643992,0,40.7,0.0644097491,241.676,0.0657406,0,41,0.0613127363,171.239,76.1209,52.236,689.688,15,7,25,7,16,7,26,7,0
309,13,2,1,-922.6,0,14741.2,0.0641014,0,46.063,0.0629394947,211.845,0.0660062,0,40,0.0627256162,117.709,76.0772,221.508,690.024,15,8,25,8,16,8,26,8,0
310,13,2,1,-800.2,0,14741.2,0.0646366,0,40.763,0.0621431623,227.291,0.0657162,0,40.7,0.0589929607,166.908,75.6824,-185.127,690.938,15,9,25,9,16,9,26,9,0
311,13,2,1,-677.8,0,14741.2,0.0646916,0,40.973,0.0643005149,287.635,0.0652099,0,40,0.0624795965,159.525,75.7325,-123.7,688.091,15,10,25,10,16,10,26,10,0
312,13,2,1,-555.4,0,14741.2,0.0653099,0,41,0.0619534544,277.627,0.0662728,0,40,0.0597543796,185.623,75.1375,48.7551,692.905,15,11,25,11,16,11,26,11,0
313,13,2,1,-433,0,14741.2,0.0649219,0,41.063,0.0643803074,288.952,0.0654016,0,41,0.0591589957,127.067,76.227,-120.473,691.043,15,12,25,12,16,12,26,12,0
314,13,2,1,-310.6,0,14741.2,0.0660301,0,41,0.0629360287,308.73,0.0656962,0,40,0.0597887663,226.968,76.1945,162.97,689.789,15,13,25,13,16,13,26,13,0
315,13,2,1,-188.2,0,14741.2,0.0643527,0,42.09,0.066686228,348.067,0.0655161,0,40,0.0615160318,169.526,75.603,19.5924,689.75,15,14,25,14,16,14,26,14,0
316,13,2,1,-65.8,0,14741.2,0.0655927,0,39.673,0.0607133208,230.449,0.0659491,0,40.7,0.0606084298,52.5948,75.9302,90.3194,692.236,15,16,25,16,16,16,26,16,0
317,13,2,1,56.6,0,14741.2,0.0666277,0,41.063,0.0597802776,208.957,0.0668721,0,41,0.0591936114,22.9424,76.6687,-220.022,693.037,15,17,25,17,16,17,26,17,0
318,13,2,1,179,0,14741.2,0.0647784,0,40.7,0.0629857778,254.94,0.0654078,0,40,0.0584094323,59.8181,75.8772,-17.255,693.73,15,18,25,18,16,18,26,18,0
319,13,2,1,301.4,0,14741.2,0.0655431,0,40.2,0.0618411024,186.259,0.065697,0,41,0.058277028,65.7852,75.5018,241.44,693.692,15,19,25,19,16,19,26,19,0
320,13,2,1,423.8,0,14741.2,0.0659044,0,40.973,0.0628658992,161.516,0.0660331,0,40,0.0616730987,133.324,76.1538,-223.786,693.711,15,20,25,20,16,20,26,20,0
321,13,2,1,546.2,0,14741.2,0.0663135,0,40,0.0603559492,161.197,0.0657026,0,40.09,0.0590240375,171.407,76.2424,55.262,694.848,15,21,25,21,16,21,26,21,0
322,13,2,1,668.6,0,14741.2,0.0661361,0,40.763,0.0629803234,269.143,0.0652123,0,40,0.0593418983,159.473,76.0096,-20.579,693.044,15,22,25,22,16,22,26,22,0
323,13,2,1,791,0,14741.2,0.0658905,0,40,0.0656801508,260.685,0.0652304,0,40,0.0607911974,114.706,76.0579,82.977,694.082,15,23,25,23,16,23,26,23,0
324,13,2,1,913.4,0,14741.2,0.0660599,0,40,0.0626739201,181.105,0.0658617,0,39.1,0.0599715435,133.181,76.0619,-144.066,693.062,15,24,25,24,16,24,26,24,0
325,13,2,1,1035.8,0,14741.2,0.0659972,0,40,0.0611536639,186.082,0.0675273,0,41,0.0579325943,96.4644,76.2994,4.846,695.74,15,25,25,25,16,25,26,25,0
326,13,2,1,1158.2,0,14741.2,0.0647659,0,39.8,0.0630879999,235.564,0.0655841,0,39.1,0.059672814,131.634,75.8924,-225.1,693.227,15,26,25,26,16,26,26,26,0
327,13,2,1,1280.6,0,14741.2,0.0652516,0,40.673,0.0635867371,320.493,0.0650922,0,40,0.0596782447,147.385,76.1984,11.4532,695.149,15,27,25,27,16,27,26,27,0
328,13,2,1,1403,0,14741.2,0.0656735,0,41.973,0.0637566028,311.838,0.0653633,0,40,0.063884905,246.087,76.6723,149.4135,694.312,15,28,25,28,16,28,26,28,0
329,13,2,1,1525.4,0,14741.2,0.0652248,0,41,0.0640888014,195.339,0.0667165,0,40.18,0.0603609039,95.2064,76.8293,-96.722,693.73,15,29,25,29,16,29,26,29,0
330,13,2,1,1647.8,0,14741.2,0.0664173,0,40,0.0631882584,289.169,0.0651297,0,40,0.0610467068,153.902,76.6991,237.705,693.318,15,30,25,30,16,30,26,30,0
401,13,2,2,-1901.8,0,14871.2,0.0691264,0,40.79,0.0622021102,138.796,0.0686305,0,41.09,0.0629506876,199.066,76.373,-140.49,688.154,17,0,27,0,18,0,28,0,0
402,13,2,2,-1779.4,0,14871.2,0.0681414,0,41.09,0.0620368561,144.003,0.0686447,0,41,0.0594066758,183.098,76.4172,108.3583,689.116,17,1,27,1,18,1,28,1,0
403,13,2,2,-1657,0,14871.2,0.0686724,0,40,0.0601901105,116.622,0.0679578,0,40,0.0646680991,258.574,76.3482,-239.239,687.466,17,2,27,2,18,2,28,2,0
404,13,2,2,-1534.6,0,14871.2,0.0685175,0,40.09,0.0626310359,182.573,0.0680677,0,41,0.0570586549,141.462,76.3947,-43.244,694.26,17,3,27,3,18,3,28,3,0
405,13,2,2,-1412.2,0,14871.2,0.0682681,0,40.073,0.0627139132,168.73,0.0677092,0,40,0.060332371,178.606,76.5179,-272.312,689.507,17,4,27,4,18,4,28,4,0
406,13,2,2,-1289.8,0,14871.2,0.0689121,0,44,0.0649869701,186.475,0.067881,0,40.1,0.0598604354,110.506,76.3584,-95.2351,689.334,17,5,27,5,18,5,28,5,0
