NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-190.18,0,1176.872,0.0656991,0,39.763,0.045605,157.703,0.0672372,0,40.7,0.0451128498,195.636,7.60334,-1.1638,-22.307536,11,0,21,0,12,0,22,0,0
102,13,1,1,-177.94,0,1176.872,0.0661856,0,41,0.045399,198.197,0.0666028,0,42,0.0436802027,144.436,7.67353,-38.3156,-19.381013,11,1,21,1,12,1,22,1,0
103,13,1,1,-165.7,0,1176.872,0.0658519,0,39.7,0.042142,237.487,0.0650953,0,40.7,0.0435900789,115.146,7.70258,-44.4361,-21.279444,11,2,21,2,12,2,22,2,0
104,13,1,1,-153.46,0,1176.872,0.0651962,0,40.7,0.040823,286.865,0.0657481,0,39.7,0.0450209798,152.156,7.62735,-19.8215,-20.076591,11,3,21,3,12,3,22,3,0
105,13,1,1,-141.22,0,1176.872,0.0657841,0,39.7,0.044307,183.851,0.0653768,0,40,0.0445644052,211.984,7.66097,-1.1422,-18.864206,11,4,21,4,12,4,22,4,0
106,13,1,1,-128.98,0,1176.872,0.0641506,0,40.7,0.041101,240.13,0.066525,0,39.7,0.0438047011,176.459,7.66178,-41.0612,-19.222141,11,5,21,5,12,5,22,5,0
107,13,1,1,-116.74,0,1176.872,0.0643006,0,39.973,0.045834,185.622,0.0656706,0,40,0.0445176512,235.038,7.64452,-44.2246,-19.939998,11,6,21,6,12,6,22,6,0
108,13,1,1,-104.5,0,1176.872,0.0645876,0,40.673,0.047365,187.756,0.0669531,0,40,0.0461772189,235.561,7.56565,-0.75068,-18.020558,11,7,21,7,12,7,22,7,0
109,13,1,1,-92.26,0,1176.872,0.0641296,0,40.09,0.04496,227.644,0.0659151,0,40,0.045220427,199.838,7.58796,-71.8036,-18.803201,11,8,21,8,12,8,22,8,0
110,13,1,1,-80.02,0,1176.872,0.0650805,0,40.673,0.044514,174.598,0.0655173,0,40,0.0414221609,159.874,7.62122,-9.001,-18.559661,11,9,21,9,12,9,22,9,0
111,13,1,1,-67.78,0,1176.872,0.065355,0,40,0.042755,223.6,0.0663147,0,39.4,0.0418937073,163.047,7.69481,-8.28704,-20.320502,11,10,21,10,12,10,22,10,0
112,13,1,1,-55.54,0,1176.872,0.0648257,0,42,0.042376,265.248,0.0661991,0,39.7,0.0445891113,126.597,7.62243,-11.4141,-17.505269,11,11,21,11,12,11,22,11,0
113,13,1,1,-43.3,0,1176.872,0.0654188,0,39.7,0.045004,233.63,0.0667917,0,40.7,0.0448763209,187.078,7.67545,-55.0552,-19.075608,11,12,21,12,12,12,22,12,0
114,13,1,1,-31.06,0,1176.872,0.0656108,0,41,0.044325,188.003,0.0657188,0,40,0.0433411896,97.4478,7.64934,-20.1612,-18.030824,11,13,21,13,12,13,22,13,0
115,13,1,1,-18.82,0,1176.872,0.0646056,0,39.79,0.047281,247.775,0.066526,0,40.7,0.043478828,235.481,7.59701,-22.5394,-19.607901,11,14,21,14,12,14,22,14,0
116,13,1,1,-6.58,0,1176.872,0.0637786,0,41.7,0.044423,229.578,0.0648159,0,40.7,0.043250475,106.912,7.67221,45.2839,-19.115456,11,16,21,16,12,16,22,16,0
117,13,1,1,5.66,0,1176.872,0.0646844,0,41.79,0.041599,120.409,0.0658308,0,40.09,0.0442044308,118.16,7.6736,60.2134,-20.151175,11,17,21,17,12,17,22,17,0
118,13,1,1,17.9,0,1176.872,0.0636014,0,40.036,0.044199,108.067,0.065353,0,40,0.044816722,167.861,7.62576,27.216,-21.620867,11,18,21,18,12,18,22,18,0
119,13,1,1,30.14,0,1176.872,0.0648838,0,42.43,0.044587,84.922,0.0648621,0,40.58,0.0426482517,88.4824,7.69125,8.1129,-19.42373,11,19,21,19,12,19,22,19,0
120,13,1,1,42.38,0,1176.872,0.0655303,0,40,0.042315,134.058,0.0660904,0,41,0.045429628,164.868,7.61211,59.9734,-19.273706,11,20,21,20,12,20,22,20,0
121,13,1,1,54.62,0,1176.872,0.0647959,0,40.763,0.041429,160.994,0.0665635,0,40.79,0.0425649648,109.919,7.67259,63.85883,-19.138601,11,21,21,21,12,21,22,21,0
122,13,1,1,66.86,0,1176.872,0.0651366,0,42.673,0.042228,195.163,0.0660221,0,40,0.0426065554,137.103,7.64144,58.4436,-20.416007,11,22,21,22,12,22,22,22,0
123,13,1,1,79.1,0,1176.872,0.0647191,0,40.673,0.04566,177.987,0.0654065,0,40,0.0436278602,135.951,7.64787,64.0875,-18.304314,11,23,21,23,12,23,22,23,0
124,13,1,1,91.34,0,1176.872,0.0645436,0,41,0.044923,198.297,0.0662359,0,41,0.0405823294,164.302,7.63894,20.99862,-19.08508,11,24,21,24,12,24,22,24,0
125,13,1,1,103.58,0,1176.872,0.0648817,0,40,0.039641,161.275,0.064413,0,40,0.0415615333,89.8187,7.65439,52.82622,-19.027216,11,25,21,25,12,25,22,25,0
126,13,1,1,115.82,0,1176.872,0.0659749,0,41.973,0.044728,212.148,0.066862,0,41,0.0445317068,98.6147,7.60776,14.23959,-18.150529,11,26,21,26,12,26,22,26,0
127,13,1,1,128.06,0,1176.872,0.064775,0,39.973,0.045336,109.21,0.065933,0,41,0.0384464064,142.387,7.66939,35.72018,-19.969267,11,27,21,27,12,27,22,27,0
128,13,1,1,140.3,0,1176.872,0.0640243,0,41,0.044014,269.457,0.0657923,0,40,0.0448028674,154.719,7.70219,49.47673,-19.655908,11,28,21,28,12,28,22,28,0
129,13,1,1,152.54,0,1176.872,0.0639767,0,41.09,0.045796,149.987,0.0663774,0,41.09,0.045118549,177.528,7.69505,40.4529,-20.679147,11,29,21,29,12,29,22,29,0
130,13,1,1,164.78,0,1176.872,0.0644294,0,41,0.043269,189.874,0.0649638,0,40,0.0438481742,256.579,7.64665,74.0091,-20.022346,11,30,21,30,12,30,22,30,0
201,13,1,2,-190.18,0,1189.872,0.0646969,0,40.973,0.043707,164.743,0.0662961,0,41,0.0439653202,220.247,7.6269,-39.1835,-20.015762,13,0,23,0,14,0,24,0,0
202,13,1,2,-177.94,0,1189.872,0.0651203,0,40,0.043487,179.285,0.0659228,0,41,0.0447188526,147.043,7.65615,14.8155,-19.343615,13,1,23,1,14,1,24,1,0
203,13,1,2,-165.7,0,1189.872,0.0649793,0,41,0.043271,191.115,0.0654393,0,41,0.0459215537,208.137,7.69129,58.4316,-20.609537,13,2,23,2,14,2,24,2,0
204,13,1,2,-153.46,0,1189.872,0.0647982,0,40.973,0.04507,151.435,0.065999,0,40,0.044581266,93.0206,7.62613,-14.9055,-18.81354,13,3,23,3,14,3,24,3,0
205,13,1,2,-141.22,0,1189.872,0.0647601,0,40.673,0.044415,214.439,0.0646243,0,40,0.043376985,169.074,7.63555,16.73301,-20.373144,13,4,23,4,14,4,24,4,0
206,13,1,2,-128.98,0,1189.872,0.0650805,0,39.7,0.041139,165.425,0.0663102,0,39.1,0.0438847353,101.812,7.61631,-18.0555,-17.3280015,13,5,23,5,14,5,24,5,0
207,13,1,2,-116.74,0,1189.872,0.0652568,0,41.09,0.043702,201.635,0.0657807,0,41.09,0.0420236341,122.941,7.64935,-4.2276,-19.739219,13,6,23,6,14,6,24,6,0
208,13,1,2,-104.5,0,1189.872,0.0657278,0,40.7,0.045573,221.705,0.0656186,0,40.7,0.040152999,78.9018,7.66721,9.8344,-17.824045,13,7,23,7,14,7,24,7,0
209,13,1,2,-92.26,0,1189.872,0.0642293,0,39.973,0.044418,233.011,0.0650805,0,40.4,0.0433871479,142.59,7.65435,26.2257,-18.227987,13,8,23,8,14,8,24,8,0
210,13,1,2,-80.02,0,1189.872,0.063616,0,39.673,0.047586,210.97,0.0662531,0,40,0.0448217439,134.949,7.59474,-43.4308,-17.174114,13,9,23,9,14,9,24,9,0
211,13,1,2,-67.78,0,1189.872,0.0656481,0,40,0.03875,234.463,0.0651797,0,40,0.043444261,249.963,7.6261,-7.79107,-18.692465,13,10,23,10,14,10,24,10,0
212,13,1,2,-55.54,0,1189.872,0.0651046,0,40,0.045433,157.912,0.0652637,0,41,0.0451420394,175.411,7.63937,-10.3581,-17.522627,13,11,23,11,14,11,24,11,0
213,13,1,2,-43.3,0,1189.872,0.0655458,0,39.673,0.043217,119.327,0.0661342,0,41,0.0455115038,208.502,7.64934,-4.87085,-17.336751,13,12,23,12,14,12,24,12,0
214,13,1,2,-31.06,0,1189.872,0.0651867,0,40.063,0.044119,156.161,0.0651543,0,41.09,0.0440794665,161.755,7.56214,-0.33276,-16.83822,13,13,23,13,14,13,24,13,0
215,13,1,2,-18.82,0,1189.872,0.0651187,0,41.09,0.046103,208.556,0.0658458,0,42,0.0470203959,251.757,7.67348,-24.3151,-18.7928,13,14,23,14,14,14,24,14,0
216,13,1,2,-6.58,0,1189.872,0.0646327,0,40.4,0.043734,127.894,0.0667216,0,41,0.046158533,179.366,7.59857,-16.7489,-19.624499,13,16,23,16,14,16,24,16,0
217,13,1,2,5.66,0,1189.872,0.0654763,0,40.973,0.040946,109.757,0.0660505,0,40,0.0452437507,161.11,7.65529,-47.7269,-19.11637,13,17,23,17,14,17,24,17,0
218,13,1,2,17.9,0,1189.872,0.0659702,0,39.973,0.043667,114.547,0.0662434,0,41,0.0442854106,151.725,7.65536,-59.2781,-20.878661,13,18,23,18,14,18,24,18,0
219,13,1,2,30.14,0,1189.872,0.0653967,0,40,0.044574,163.574,0.0661915,0,40,0.0444192406,186.748,7.71922,-49.8377,-19.809977,13,19,23,19,14,19,24,19,0
220,13,1,2,42.38,0,1189.872,0.0651116,0,40,0.040343,223.553,0.0659465,0,40,0.0452231537,151.018,7.70229,-45.6752,-16.900339,13,20,23,20,14,20,24,20,0
221,13,1,2,54.62,0,1189.872,0.0651492,0,38.8,0.044758,183.28,0.0664084,0,40,0.0470741826,195.089,7.67332,-15.0876,-17.910927,13,21,23,21,14,21,24,21,0
222,13,1,2,66.86,0,1189.872,0.0645071,0,41,0.046126,274.86,0.0647408,0,41,0.0411360685,259.059,7.69542,-7.2898,-19.359701,13,22,23,22,14,22,24,22,0
223,13,1,2,79.1,0,1189.872,0.0663965,0,41,0.045739,201.317,0.0670698,0,40,0.0450052431,210.911,7.67411,-35.9215,-17.544282,13,23,23,23,14,23,24,23,0
224,13,1,2,91.34,0,1189.872,0.0653397,0,39.973,0.044787,177.991,0.0672137,0,39.4,0.044043227,125.215,7.63113,-58.8064,-17.839499,13,24,23,24,14,24,24,24,0
225,13,1,2,103.58,0,1189.872,0.0650287,0,40.763,0.044267,128.689,0.0656514,0,39.4,0.042735895,211.322,7.63201,-26.3794,-18.324064,13,25,23,25,14,25,24,25,0
226,13,1,2,115.82,0,1189.872,0.0650992,0,40,0.043932,172.065,0.0649512,0,40,0.0444230556,236.504,7.64441,-70.7377,-16.74507,13,26,23,26,14,26,24,26,0
227,13,1,2,128.06,0,1189.872,0.0638867,0,41,0.046438,165.334,0.0668323,0,40,0.0453861224,203.08,7.66528,-44.11,-17.165689,13,27,23,27,14,27,24,27,0
228,13,1,2,140.3,0,1189.872,0.0645544,0,40.973,0.047065,219.263,0.0664409,0,39.7,0.0467595623,221.844,7.67864,-44.8871,-20.000969,13,28,23,28,14,28,24,28,0
229,13,1,2,152.54,0,1189.872,0.0667534,0,40,0.043843,201.987,0.0658558,0,41,0.0383503372,91.2653,7.67403,-56.016,-18.69888,13,29,23,29,14,29,24,29,0
230,13,1,2,164.78,0,1189.872,0.0645155,0,40.09,0.042424,293.699,0.0663971,0,41.1,0.0471409782,195.289,7.70902,-45.7764,-19.332135,13,30,23,30,14,30,24,30,0
301,13,2,1,-190.18,0,1261.472,0.0647001,0,41,0.046595,249.533,0.0651201,0,40,0.045207071,159.35,7.6071,49.26,-24.565554,15,0,25,0,16,0,26,0,0
302,13,2,1,-177.94,0,1261.472,0.0653708,0,40.736,0.044969,307.21,0.0657201,0,40,0.0417222384,149.326,7.59852,-9.0719,-24.13533,15,1,25,1,16,1,26,1,0
303,13,2,1,-165.7,0,1261.472,0.0643251,0,40.973,0.046224,248.747,0.0672314,0,41,0.0429057489,84.276,7.58388,-15.4393,-24.252897,15,2,25,2,16,2,26,2,0
304,13,2,1,-153.46,0,1261.472,0.0647593,0,39.79,0.045907,98.989,0.0659468,0,40.09,0.0443186451,113.333,7.58833,5.075,-22.950053,15,3,25,3,16,3,26,3,0
305,13,2,1,-141.22,0,1261.472,0.0651167,0,40.09,0.044942,213.394,0.0658702,0,41,0.0434066085,176.156,7.60842,28.61961,-22.913154,15,4,25,4,16,4,26,4,0
306,13,2,1,-128.98,0,1261.472,0.0653403,0,40.7,0.045456,157.973,0.0662028,0,41,0.0449574253,168.301,7.56203,-27.1151,-21.03241,15,5,25,5,16,5,26,5,0
307,13,2,1,-116.74,0,1261.472,0.0649391,0,40.79,0.047008,240.978,0.0653868,0,39.7,0.044349897,123.793,7.57656,7.97022,-23.57254,15,6,25,6,16,6,26,6,0
308,13,2,1,-104.5,0,1261.472,0.064435,0,40.7,0.046152,239.721,0.0656958,0,41,0.0442115967,171.038,7.61209,5.2236,-21.902785,15,7,25,7,16,7,26,7,0
309,13,2,1,-92.26,0,1261.472,0.0641667,0,46.063,0.046324,210.94,0.0659656,0,40,0.0450084841,115.266,7.60772,22.1508,-20.02587,15,8,25,8,16,8,26,8,0
310,13,2,1,-80.02,0,1261.472,0.0646175,0,40.763,0.045409,225.347,0.0656599,0,40.7,0.0429622777,166.786,7.56824,-18.5127,-21.374524,15,9,25,9,16,9,26,9,0
311,13,2,1,-67.78,0,1261.472,0.0647443,0,40.973,0.044257,285.882,0.0652562,0,40,0.0449658484,157.172,7.57325,-12.37,-22.154338,15,10,25,10,16,10,26,10,0
312,13,2,1,-55.54,0,1261.472,0.065323,0,41,0.043449,275.564,0.0663057,0,40,0.0438023347,185.291,7.51375,4.87551,-19.809524,15,11,25,11,16,11,26,11,0
313,13,2,1,-43.3,0,1261.472,0.0648497,0,41.063,0.043834,289.28,0.0654307,0,41,0.0430072998,124.744,7.6227,-12.0473,-21.075776,15,12,25,12,16,12,26,12,0
314,13,2,1,-31.06,0,1261.472,0.0660389,0,41,0.042772,305.997,0.0656607,0,40,0.0431565258,226.937,7.61945,16.297,-21.476602,15,13,25,13,16,13,26,13,0
315,13,2,1,-18.82,0,1261.472,0.0644682,0,42.09,0.045112,346.204,0.0655666,0,40,0.0447719095,166.797,7.5603,1.95924,-21.008004,15,14,25,14,16,14,26,14,0
316,13,2,1,-6.58,0,1261.472,0.0655286,0,39.673,0.045717,228.413,0.0659172,0,40.7,0.0447493299,50.6669,7.59302,9.03194,-20.493759,15,16,25,16,16,16,26,16,0
317,13,2,1,5.66,0,1261.472,0.0666051,0,41.063,0.043578,206.854,0.0669056,0,41,0.0423346964,22.3844,7.66687,-22.0022,-19.187769,15,17,25,17,16,17,26,17,0
318,13,2,1,17.9,0,1261.472,0.0647683,0,40.7,0.046121,253.434,0.065374,0,40,0.0431878943,60.9139,7.58772,-1.7255,-20.522492,15,18,25,18,16,18,26,18,0
319,13,2,1,30.14,0,1261.472,0.0654657,0,40.2,0.044975,183.885,0.0657128,0,41,0.0429402568,65.4529,7.55018,24.144,-19.049156,15,19,25,19,16,19,26,19,0
320,13,2,1,42.38,0,1261.472,0.0658511,0,40.973,0.04571,159.492,0.0659926,0,40,0.0445368832,130.606,7.61538,-22.3786,-18.23459,15,20,25,20,16,20,26,20,0
321,13,2,1,54.62,0,1261.472,0.066336,0,40,0.043191,158.81,0.0657752,0,40.09,0.0431088369,171.323,7.62424,5.5262,-18.549081,15,21,25,21,16,21,26,21,0
