NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-190.18,0,1111.7,0.0657074,0,39.763,0.0428327,165.114,0.0672004,0,40.7,0.042401,198.481,7.60334,11.3362,-35.283436,11,0,21,0,12,0,22,0,0
102,13,1,1,-177.94,0,1111.7,0.0661802,0,41,0.0422513,203.495,0.0665708,0,42,0.0420897,145.199,7.67353,-5.81555,-32.356913,11,1,21,1,12,1,22,1,0
103,13,1,1,-165.7,0,1111.7,0.0658493,0,39.7,0.0417728,245.566,0.065067,0,40.7,0.0424465,116.969,7.70258,-3.93614,-34.255344,11,2,21,2,12,2,22,2,0
104,13,1,1,-153.46,0,1111.7,0.0653312,0,40.7,0.0436959,292.329,0.0657247,0,39.7,0.0417461,150.759,7.62735,4.67846,-33.052491,11,3,21,3,12,3,22,3,0
105,13,1,1,-141.22,0,1111.7,0.0657782,0,39.7,0.0406272,191.085,0.0654204,0,40,0.0419913,214.298,7.66097,11.3578,-31.840106,11,4,21,4,12,4,22,4,0
106,13,1,1,-128.98,0,1111.7,0.0641701,0,40.7,0.0421318,245.277,0.0664811,0,39.7,0.0410851,175.134,7.66178,11.4388,-32.198041,11,5,21,5,12,5,22,5,0
107,13,1,1,-116.74,0,1111.7,0.0643292,0,39.973,0.0410817,192.449,0.065693,0,40,0.0419899,237.185,7.64452,16.2754,-32.915898,11,6,21,6,12,6,22,6,0
108,13,1,1,-104.5,0,1111.7,0.0644386,0,40.673,0.0443874,191.928,0.0669648,0,40,0.0428412,236.382,7.56565,7.74932,-30.996458,11,7,21,7,12,7,22,7,0
109,13,1,1,-92.26,0,1111.7,0.0641864,0,40.09,0.0411022,235.761,0.0659665,0,40,0.0423519,202.655,7.58796,-51.3036,-31.779101,11,8,21,8,12,8,22,8,0
110,13,1,1,-80.02,0,1111.7,0.0651224,0,40.673,0.0405072,178.779,0.0655256,0,40,0.0418826,158.982,7.62122,23.499,-31.535561,11,9,21,9,12,9,22,9,0
111,13,1,1,-67.78,0,1111.7,0.0653517,0,40,0.0412305,230.031,0.0663496,0,39.4,0.0418107,164.101,7.69481,4.21296,-33.296402,11,10,21,10,12,10,22,10,0
112,13,1,1,-55.54,0,1111.7,0.0648577,0,42,0.0416557,270.663,0.0661911,0,39.7,0.0430926,125.091,7.62243,5.08595,-30.481169,11,11,21,11,12,11,22,11,0
113,13,1,1,-43.3,0,1111.7,0.0654181,0,39.7,0.0413164,239.988,0.0668437,0,40.7,0.0416505,189.523,7.67545,-14.5552,-32.051508,11,12,21,12,12,12,22,12,0
114,13,1,1,-31.06,0,1111.7,0.0656136,0,41,0.041309,192.156,0.0657665,0,40,0.0419397,95.8541,7.64934,8.33879,-31.006724,11,13,21,13,12,13,22,13,0
115,13,1,1,-18.82,0,1111.7,0.064498,0,39.79,0.040118,254.361,0.0665654,0,40.7,0.039977,235.905,7.59701,5.96061,-32.583801,11,14,21,14,12,14,22,14,0
116,13,1,1,-6.58,0,1111.7,0.0638266,0,41.7,0.0414998,237.729,0.0647489,0,40.7,0.0426843,105.68,7.67221,25.7839,-32.091356,11,16,21,16,12,16,22,16,0
117,13,1,1,5.66,0,1111.7,0.0646792,0,41.79,0.0417478,125.895,0.0657655,0,40.09,0.0434411,116.377,7.6736,12.7134,-33.127075,11,17,21,17,12,17,22,17,0
118,13,1,1,17.9,0,1111.7,0.0636688,0,40.036,0.04245,114.674,0.0653057,0,40,0.0428681,167.834,7.62576,11.716,-34.596767,11,18,21,18,12,18,22,18,0
119,13,1,1,30.14,0,1111.7,0.0648626,0,42.43,0.0421899,89.8042,0.0649522,0,40.58,0.0422561,87.5526,7.69125,-11.3871,-32.39963,11,19,21,19,12,19,22,19,0
120,13,1,1,42.38,0,1111.7,0.0655277,0,40,0.0420971,139.602,0.0660685,0,41,0.0434861,164.136,7.61211,16.4734,-32.249606,11,20,21,20,12,20,22,20,0
121,13,1,1,54.62,0,1111.7,0.0646696,0,40.763,0.0405202,167.467,0.0665619,0,40.79,0.0434597,108.46,7.67259,4.35883,-32.114501,11,21,21,21,12,21,22,21,0
122,13,1,1,66.86,0,1111.7,0.0649723,0,42.673,0.041326,203.076,0.0660736,0,40,0.0431816,137.352,7.64144,14.9436,-33.391907,11,22,21,22,12,22,22,22,0
123,13,1,1,79.1,0,1111.7,0.0646771,0,40.673,0.0425257,184.597,0.0654071,0,40,0.043129,135.521,7.64787,20.5875,-31.280214,11,23,21,23,12,23,22,23,0
124,13,1,1,91.34,0,1111.7,0.0645046,0,41,0.0409194,206.828,0.0661584,0,41,0.041769,166.306,7.63894,9.49862,-32.06098,11,24,21,24,12,24,22,24,0
125,13,1,1,103.58,0,1111.7,0.06506,0,40,0.0404033,167.781,0.064376,0,40,0.042871,89.0645,7.65439,5.32622,-32.003116,11,25,21,25,12,25,22,25,0
126,13,1,1,115.82,0,1111.7,0.0659832,0,41.973,0.0405047,220.362,0.0667675,0,41,0.0432133,98.1068,7.60776,-5.26041,-31.126429,11,26,21,26,12,26,22,26,0
127,13,1,1,128.06,0,1111.7,0.0647011,0,39.973,0.0411701,114.54,0.0658502,0,41,0.0415519,142.762,7.66939,8.22018,-32.945167,11,27,21,27,12,27,22,27,0
128,13,1,1,140.3,0,1111.7,0.0640469,0,41,0.0408475,279.606,0.0657501,0,40,0.0432623,155.861,7.70219,1.97673,-32.631808,11,28,21,28,12,28,22,28,0
129,13,1,1,152.54,0,1111.7,0.0639853,0,41.09,0.0416238,155.454,0.0664166,0,41.09,0.0417876,177.681,7.69505,-11.0471,-33.655047,11,29,21,29,12,29,22,29,0
130,13,1,1,164.78,0,1111.7,0.0644432,0,41,0.0401793,197.713,0.0648816,0,40,0.0417353,259.128,7.64665,14.5091,-32.998246,11,30,21,30,12,30,22,30,0
201,13,1,2,-190.18,0,1124.7,0.0646712,0,40.973,0.0416999,175.29,0.0662605,0,41,0.0414811,229.836,7.6269,-2.68345,-32.991662,13,0,23,0,14,0,24,0,0
202,13,1,2,-177.94,0,1124.7,0.0652121,0,40,0.0404664,188.465,0.0659195,0,41,0.0433543,154.964,7.65615,15.3155,-32.319515,13,1,23,1,14,1,24,1,0
203,13,1,2,-165.7,0,1124.7,0.0648959,0,41,0.0406432,201.223,0.0654668,0,41,0.0427105,216.75,7.69129,14.9316,-33.585437,13,2,23,2,14,2,24,2,0
204,13,1,2,-153.46,0,1124.7,0.064832,0,40.973,0.0426348,159.521,0.0660346,0,40,0.0429164,101.41,7.62613,-6.40545,-31.78944,13,3,23,3,14,3,24,3,0
205,13,1,2,-141.22,0,1124.7,0.0646972,0,40.673,0.0407059,224.618,0.0647469,0,40,0.041901,177.601,7.63555,1.23301,-33.349044,13,4,23,4,14,4,24,4,0
206,13,1,2,-128.98,0,1124.7,0.0651835,0,39.7,0.0421868,174.137,0.066343,0,39.1,0.0417799,109.876,7.61631,-17.5555,-30.3039015,13,5,23,5,14,5,24,5,0
207,13,1,2,-116.74,0,1124.7,0.0653527,0,41.09,0.0403553,211.812,0.0657369,0,41.09,0.0415292,129.763,7.64935,16.2724,-32.715119,13,6,23,6,14,6,24,6,0
208,13,1,2,-104.5,0,1124.7,0.0657872,0,40.7,0.0421305,230.631,0.0656649,0,40.7,0.0418124,86.0843,7.66721,18.3344,-30.799945,13,7,23,7,14,7,24,7,0
209,13,1,2,-92.26,0,1124.7,0.0641747,0,39.973,0.0405763,242.025,0.0650086,0,40.4,0.042235,148.947,7.65435,10.7257,-31.203887,13,8,23,8,14,8,24,8,0
210,13,1,2,-80.02,0,1124.7,0.0636083,0,39.673,0.0422846,219.156,0.0661771,0,40,0.0434974,142.656,7.59474,-10.9308,-30.150014,13,9,23,9,14,9,24,9,0
211,13,1,2,-67.78,0,1124.7,0.0656912,0,40,0.0426299,244.323,0.0653302,0,40,0.0404884,256.991,7.6261,-7.29107,-31.668365,13,10,23,10,14,10,24,10,0
212,13,1,2,-55.54,0,1124.7,0.0651643,0,40,0.0420686,165.255,0.0653398,0,41,0.0422702,182.186,7.63937,-5.85813,-30.498527,13,11,23,11,14,11,24,11,0
213,13,1,2,-43.3,0,1124.7,0.0655555,0,39.673,0.0415303,128.431,0.0661368,0,41,0.0412238,215.379,7.64934,-0.370847,-30.312651,13,12,23,12,14,12,24,12,0
