NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-0,13,H,0,0,1,44,1178,3284,1141,3281,1,41,1203,3278,1154,3276,62.9441,2.53446,7.97422,0.988408,0.061356,338.661,1,9,11,6,0,4,2,1,5,1,11165
NeuLANDPla0H-1,13,H,0,1,1,7,1326,3277,1141,3281,1,38,1126,3278,1154,3276,63.3898,2.33446,7.95455,0.998441,0.0609131,429.976,1,9,10,6,0,4,2,0,5,1,11165
NeuLANDPla0H-2,13,H,0,2,1,9,1177,3271,1141,3281,1,26,1216,3273,1154,3276,61.6039,1.93446,8.11796,1.01356,0.0619758,489.34,1,9,9,6,0,4,2,15,5,1,11165
NeuLANDPla0H-3,13,H,0,3,1,11,1214,3282,1141,3281,1,80,1156,3270,1154,3276,61.0149,2.33446,7.93882,1.01174,0.0618941,431.044,1,9,8,6,0,4,2,14,5,1,11165
NeuLANDPla0H-4,13,H,0,4,1,14,1307,3280,1236,3288,1,63,1159,3261,1154,3276,64.9227,4.13446,8.10695,0.98978,0.0606145,480.594,1,10,7,6,0,4,2,13,5,1,11165
NeuLANDPla0H-5,13,H,0,5,1,36,1341,3261,1236,3288,1,32,1172,3275,1154,3276,65.1804,4.13446,8.09249,1.00619,0.0621519,485.599,1,10,6,6,0,4,2,12,5,1,11165
NeuLANDPla0H-6,13,H,0,6,1,14,1282,3279,1236,3288,1,75,1218,3270,1154,3276,64.1359,4.53446,7.97682,1.00837,0.061683,480.236,1,10,5,6,0,4,2,11,5,1,11165
NeuLANDPla0H-7,13,H,0,7,1,11,1355,3259,1236,3288,1,76,1197,3270,1154,3276,64.5225,3.73446,8.0047,1.01429,0.0621676,407.287,1,10,4,6,0,4,2,10,5,1,11165
NeuLANDPla0H-8,13,H,0,8,1,43,1287,3284,1236,3288,1,61,1217,3270,1154,3276,64.5345,3.53446,8.22589,0.996355,0.0616165,531.169,1,10,3,6,0,4,2,9,5,1,11165
NeuLANDPla0H-9,13,H,0,9,1,11,1334,3268,1236,3288,1,29,1157,3269,1154,3276,65.3333,4.33446,8.14874,1.01033,0.0622981,472.262,1,10,2,6,0,4,2,8,5,1,11165
