NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-0,13,H,0,0,1,46,1178,3284,1141,3281,1,51,1203,3278,1154,3276,65.3677,35.0248,8.09339,1.0026,0.0609517,369.163,1,9,11,6,0,4,2,1,5,1,11165
NeuLANDPla0H-1,13,H,0,1,1,8,1326,3277,1141,3281,1,47,1126,3278,1154,3276,66.1984,34.3289,8.10554,0.99644,0.0621585,428.384,1,9,10,6,0,4,2,0,5,1,11165
NeuLANDPla0H-2,13,H,0,2,1,10,1177,3271,1141,3281,1,37,1216,3273,1154,3276,64.6175,34.4891,8.15344,1.01373,0.0621193,491.438,1,9,9,6,0,4,2,15,5,1,11165
NeuLANDPla0H-3,13,H,0,3,1,12,1214,3282,1141,3281,1,91,1156,3270,1154,3276,64.0564,34.7487,8.09063,1.00112,0.0612525,449.055,1,9,8,6,0,4,2,14,5,1,11165
NeuLANDPla0H-4,13,H,0,4,1,15,1307,3280,1236,3288,1,73,1159,3261,1154,3276,67.4634,36.1453,8.1089,0.996822,0.0614499,483.513,1,10,7,6,0,4,2,13,5,1,11165
NeuLANDPla0H-5,13,H,0,5,1,37,1341,3261,1236,3288,1,41,1172,3275,1154,3276,67.5266,36.2637,8.10743,0.997532,0.0615315,505.028,1,10,6,6,0,4,2,12,5,1,11165
NeuLANDPla0H-6,13,H,0,6,1,16,1282,3279,1236,3288,1,85,1218,3270,1154,3276,66.6949,36.4573,8.0305,1.00606,0.0608887,508.748,1,10,5,6,0,4,2,11,5,1,11165
NeuLANDPla0H-7,13,H,0,7,1,13,1355,3259,1236,3288,1,86,1197,3270,1154,3276,66.9173,35.6374,8.04758,0.989532,0.0613996,390.303,1,10,4,6,0,4,2,10,5,1,11165
NeuLANDPla0H-8,13,H,0,8,1,45,1287,3284,1236,3288,1,69,1217,3270,1154,3276,67.2347,35.4198,8.18671,1.00024,0.0603343,538.801,1,10,3,6,0,4,2,9,5,1,11165
NeuLANDPla0H-9,13,H,0,9,1,13,1334,3268,1236,3288,1,39,1157,3269,1154,3276,67.697,36.2879,8.15463,1.00407,0.0626405,478.41,1,10,2,6,0,4,2,8,5,1,11165
NeuLANDPla0H-10,13,H,0,10,1,6,1253,3271,1236,3288,1,26,1339,3272,1266,3277,67.3675,35.9426,8.12883,1.00266,0.0632201,423.908,1,10,1,6,0,4,3,7,5,1,11165
NeuLANDPla0H-11,13,H,0,11,1,42,1314,3265,1236,3288,1,43,1272,3282,1266,3277,66.6981,35.3719,8.09803,1.00353,0.0626172,538.684,1,10,0,6,0,4,3,6,5,1,11165
NeuLANDPla0H-12,13,H,0,12,1,17,1253,3286,1236,3288,1,84,1255,3277,1266,3277,68.1207,35.6362,8.13397,1.00812,0.0624664,448.193,1,10,15,6,0,4,3,5,5,1,11165
