NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,Ignore
NEULANDVETO1,13,1,1,-112,0,1100,0.0764449,0,0,0.0084,270.381,0.0772675,0,0,0.0077,327.727,5.27777,0,0,31,0,31,8,31,0,31,8,0
NEULANDVETO2,13,1,1,-80,0,1100,0.0781229,0,0,0.0071,188.705,0.0773227,0,0,0.0093,329.087,5.42857,0,0,31,1,31,9,31,1,31,9,0
NEULANDVETO3,13,1,1,-48,0,1100,0.0768897,0,0,0.0064,194.707,0.076907,0,0,0.0084,274.876,5.27777,0,0,31,2,31,10,31,2,31,10,0
NEULANDVETO4,13,1,1,-16,0,1100,0.0763626,0,0,0.0092,231.671,0.077865,0,0,0.0087,361.245,5.13514,0,0,31,3,31,11,31,3,31,11,0
NEULANDVETO5,13,1,1,16,0,1100,0.0771958,0,0,0.0072,288.36,0.0764381,0,0,0.0104,319.26,5.27777,0,0,31,4,31,12,31,4,31,12,0
NEULANDVETO6,13,1,1,48,0,1100,0.0768041,0,0,0.0063,275.527,0.0767091,0,0,0.0101,386.405,5.42857,0,0,31,5,31,13,31,5,31,13,0
NEULANDVETO7,13,1,1,80,0,1100,0.0771441,0,0,0.0095,367.965,0.0777481,0,0,0.0083,253.031,5,0,0,31,6,31,14,31,6,31,14,0
NEULANDVETO8,13,1,1,112,0,1100,0.0772522,0,0,0.0101,346.16,0.0786016,0,0,0.0096,188.551,5.13514,0,0,31,7,31,15,31,7,31,15,0
tref,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,16,31,17,31,16,31,17,0
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,31,25,31,18,31,25,1
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19,31,26,31,19,31,26,1
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,31,27,31,20,31,27,1
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,31,28,31,21,31,28,1
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,31,29,31,22,31,29,1
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23,31,30,31,23,31,30,1
dummy,13,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,31,31,31,24,31,31,1
