NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
BDC2_0_0,13,0,31,X,0,35,-16.8,0,27,4,0
BDC2_0_1,13,0,31,X,1,30,-16.8,0,27,4,1
BDC2_0_2,13,0,31,X,2,25,-16.8,0,27,4,2
BDC2_0_3,13,0,31,X,3,20,-16.8,0,27,4,3
BDC2_0_4,13,0,31,X,4,15,-16.8,0,27,4,4
BDC2_0_5,13,0,31,X,5,10,-16.8,0,27,4,5
BDC2_0_6,13,0,31,X,6,5,-16.8,0,27,4,6
BDC2_0_7,13,0,31,X,7,0,-16.8,0,27,4,7
BDC2_0_8,13,0,31,X,8,-5,-16.8,0,27,4,8
BDC2_0_9,13,0,31,X,9,-10,-16.8,0,27,4,9
BDC2_0_10,13,0,31,X,10,-15,-16.8,0,27,4,10
BDC2_0_11,13,0,31,X,11,-20,-16.8,0,27,4,11
BDC2_0_12,13,0,31,X,12,-25,-16.8,0,27,4,12
BDC2_0_13,13,0,31,X,13,-30,-16.8,0,27,4,13
BDC2_0_14,13,0,31,X,14,-35,-16.8,0,27,4,14
BDC2_0_15,13,0,31,X,15,-40,-16.8,0,27,4,15
BDC2_1_0,13,1,32,X,0,37.5,-12,0,27,4,31
BDC2_1_1,13,1,32,X,1,32.5,-12,0,27,4,30
BDC2_1_2,13,1,32,X,2,27.5,-12,0,27,4,29
BDC2_1_3,13,1,32,X,3,22.5,-12,0,27,4,28
BDC2_1_4,13,1,32,X,4,17.5,-12,0,27,4,27
BDC2_1_5,13,1,32,X,5,12.5,-12,0,27,4,26
BDC2_1_6,13,1,32,X,6,7.5,-12,0,27,4,25
BDC2_1_7,13,1,32,X,7,2.5,-12,0,27,4,24
BDC2_1_8,13,1,32,X,8,-2.5,-12,0,27,4,23
BDC2_1_9,13,1,32,X,9,-7.5,-12,0,27,4,22
BDC2_1_10,13,1,32,X,10,-12.5,-12,0,27,4,21
BDC2_1_11,13,1,32,X,11,-17.5,-12,0,27,4,20
BDC2_1_12,13,1,32,X,12,-22.5,-12,0,27,4,19
BDC2_1_13,13,1,32,X,13,-27.5,-12,0,27,4,18
BDC2_1_14,13,1,32,X,14,-32.5,-12,0,27,4,17
BDC2_1_15,13,1,32,X,15,-37.5,-12,0,27,4,16
BDC2_2_0,13,2,33,Y,0,35,-7.2,0,27,5,0
BDC2_2_1,13,2,33,Y,1,30,-7.2,0,27,5,1
BDC2_2_2,13,2,33,Y,2,25,-7.2,0,27,5,2
BDC2_2_3,13,2,33,Y,3,20,-7.2,0,27,5,3
BDC2_2_4,13,2,33,Y,4,15,-7.2,0,27,5,4
BDC2_2_5,13,2,33,Y,5,10,-7.2,0,27,5,5
BDC2_2_6,13,2,33,Y,6,5,-7.2,0,27,5,6
BDC2_2_7,13,2,33,Y,7,0,-7.2,0,27,5,7
BDC2_2_8,13,2,33,Y,8,-5,-7.2,0,27,5,8
BDC2_2_9,13,2,33,Y,9,-10,-7.2,0,27,5,9
BDC2_2_10,13,2,33,Y,10,-15,-7.2,0,27,5,10
BDC2_2_11,13,2,33,Y,11,-20,-7.2,0,27,5,11
BDC2_2_12,13,2,33,Y,12,-25,-7.2,0,27,5,12
BDC2_2_13,13,2,33,Y,13,-30,-7.2,0,27,5,13
BDC2_2_14,13,2,33,Y,14,-35,-7.2,0,27,5,14
BDC2_2_15,13,2,33,Y,15,-40,-7.2,0,27,5,15
BDC2_3_0,13,3,34,Y,0,37.5,-2.4,0,27,5,31
BDC2_3_1,13,3,34,Y,1,32.5,-2.4,0,27,5,30
BDC2_3_2,13,3,34,Y,2,27.5,-2.4,0,27,5,29
BDC2_3_3,13,3,34,Y,3,22.5,-2.4,0,27,5,28
BDC2_3_4,13,3,34,Y,4,17.5,-2.4,0,27,5,27
BDC2_3_5,13,3,34,Y,5,12.5,-2.4,0,27,5,26
BDC2_3_6,13,3,34,Y,6,7.5,-2.4,0,27,5,25
BDC2_3_7,13,3,34,Y,7,2.5,-2.4,0,27,5,24
BDC2_3_8,13,3,34,Y,8,-2.5,-2.4,0,27,5,23
BDC2_3_9,13,3,34,Y,9,-7.5,-2.4,0,27,5,22
