NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
BPC_0_0,5,0,11,X,0,126,5,0,17,0,0
BPC_0_1,5,0,11,X,1,122,5,0,17,0,1
BPC_0_2,5,0,11,X,2,118,5,0,17,0,2
BPC_0_3,5,0,11,X,3,114,5,0,17,0,3
BPC_0_4,5,0,11,X,4,110,5,0,17,0,4
BPC_0_5,5,0,11,X,5,106,5,0,17,0,5
BPC_0_6,5,0,11,X,6,102,5,0,17,0,6
BPC_0_7,5,0,11,X,7,98,5,0,17,0,7
BPC_0_8,5,0,11,X,8,94,5,0,17,0,8
BPC_0_9,5,0,11,X,9,90,5,0,17,0,9
BPC_0_10,5,0,11,X,10,86,5,0,17,0,10
BPC_0_11,5,0,11,X,11,82,5,0,17,0,11
BPC_0_12,5,0,11,X,12,78,5,0,17,0,12
BPC_0_13,5,0,11,X,13,74,5,0,17,0,13
BPC_0_14,5,0,11,X,14,70,5,0,17,0,14
BPC_0_15,5,0,11,X,15,66,5,0,17,0,15
BPC_0_16,5,0,11,X,16,62,5,0,17,0,16
BPC_0_17,5,0,11,X,17,58,5,0,17,0,17
BPC_0_18,5,0,11,X,18,54,5,0,17,0,18
BPC_0_19,5,0,11,X,19,50,5,0,17,0,19
BPC_0_20,5,0,11,X,20,46,5,0,17,0,20
BPC_0_21,5,0,11,X,21,42,5,0,17,0,21
BPC_0_22,5,0,11,X,22,38,5,0,17,0,22
BPC_0_23,5,0,11,X,23,34,5,0,17,0,23
BPC_0_24,5,0,11,X,24,30,5,0,17,0,24
BPC_0_25,5,0,11,X,25,26,5,0,17,0,25
BPC_0_26,5,0,11,X,26,22,5,0,17,0,26
BPC_0_27,5,0,11,X,27,18,5,0,17,0,27
BPC_0_28,5,0,11,X,28,14,5,0,17,0,28
BPC_0_29,5,0,11,X,29,10,5,0,17,0,29
BPC_0_30,5,0,11,X,30,6,5,0,17,0,30
BPC_0_31,5,0,11,X,31,2,5,0,17,0,31
BPC_0_32,5,0,11,X,32,-2,5,0,17,0,32
BPC_0_33,5,0,11,X,33,-6,5,0,17,0,33
BPC_0_34,5,0,11,X,34,-10,5,0,17,0,34
BPC_0_35,5,0,11,X,35,-14,5,0,17,0,35
BPC_0_36,5,0,11,X,36,-18,5,0,17,0,36
BPC_0_37,5,0,11,X,37,-22,5,0,17,0,37
BPC_0_38,5,0,11,X,38,-26,5,0,17,0,38
BPC_0_39,5,0,11,X,39,-30,5,0,17,0,39
BPC_0_40,5,0,11,X,40,-34,5,0,17,0,40
BPC_0_41,5,0,11,X,41,-38,5,0,17,0,41
BPC_0_42,5,0,11,X,42,-42,5,0,17,0,42
BPC_0_43,5,0,11,X,43,-46,5,0,17,0,43
BPC_0_44,5,0,11,X,44,-50,5,0,17,0,44
BPC_0_45,5,0,11,X,45,-54,5,0,17,0,45
BPC_0_46,5,0,11,X,46,-58,5,0,17,0,46
BPC_0_47,5,0,11,X,47,-62,5,0,17,0,47
BPC_0_48,5,0,11,X,48,-66,5,0,17,0,48
BPC_0_49,5,0,11,X,49,-70,5,0,17,0,49
BPC_0_50,5,0,11,X,50,-74,5,0,17,0,50
BPC_0_51,5,0,11,X,51,-78,5,0,17,0,51
BPC_0_52,5,0,11,X,52,-82,5,0,17,0,52
BPC_0_53,5,0,11,X,53,-86,5,0,17,0,53
BPC_0_54,5,0,11,X,54,-90,5,0,17,0,54
BPC_0_55,5,0,11,X,55,-94,5,0,17,0,55
BPC_0_56,5,0,11,X,56,-98,5,0,17,0,56
BPC_0_57,5,0,11,X,57,-102,5,0,17,0,57
BPC_0_58,5,0,11,X,58,-106,5,0,17,0,58
BPC_0_59,5,0,11,X,59,-110,5,0,17,0,59
BPC_0_60,5,0,11,X,60,-114,5,0,17,0,60
BPC_0_61,5,0,11,X,61,-118,5,0,17,0,61
BPC_0_62,5,0,11,X,62,-122,5,0,17,0,62
BPC_0_63,5,0,11,X,63,-126,5,0,17,0,63
BPC_1_0,5,1,12,X,0,127,15,0,17,1,63
BPC_1_1,5,1,12,X,1,123,15,0,17,1,62
BPC_1_2,5,1,12,X,2,119,15,0,17,1,61
BPC_1_3,5,1,12,X,3,115,15,0,17,1,60
BPC_1_4,5,1,12,X,4,111,15,0,17,1,59
BPC_1_5,5,1,12,X,5,107,15,0,17,1,58
BPC_1_6,5,1,12,X,6,103,15,0,17,1,57
