NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
FDC1_0_0,13,0,41,X,0,-152.5,65,0,29,6,0
FDC1_0_1,13,0,41,X,1,-142.5,65,0,29,6,1
FDC1_0_2,13,0,41,X,2,-132.5,65,0,29,6,2
FDC1_0_3,13,0,41,X,3,-122.5,65,0,29,6,3
FDC1_0_4,13,0,41,X,4,-112.5,65,0,29,6,4
FDC1_0_5,13,0,41,X,5,-102.5,65,0,29,6,5
FDC1_0_6,13,0,41,X,6,-92.5,65,0,29,6,6
FDC1_0_7,13,0,41,X,7,-82.5,65,0,29,6,7
FDC1_0_8,13,0,41,X,8,-72.5,65,0,29,6,8
FDC1_0_9,13,0,41,X,9,-62.5,65,0,29,6,9
FDC1_0_10,13,0,41,X,10,-52.5,65,0,29,6,10
FDC1_0_11,13,0,41,X,11,-42.5,65,0,29,6,11
FDC1_0_12,13,0,41,X,12,-32.5,65,0,29,6,12
FDC1_0_13,13,0,41,X,13,-22.5,65,0,29,6,13
FDC1_0_14,13,0,41,X,14,-12.5,65,0,29,6,14
FDC1_0_15,13,0,41,X,15,-2.5,65,0,29,6,15
FDC1_0_16,13,0,41,X,16,7.5,65,0,29,6,16
FDC1_0_17,13,0,41,X,17,17.5,65,0,29,6,17
FDC1_0_18,13,0,41,X,18,27.5,65,0,29,6,18
FDC1_0_19,13,0,41,X,19,37.5,65,0,29,6,19
FDC1_0_20,13,0,41,X,20,47.5,65,0,29,6,20
FDC1_0_21,13,0,41,X,21,57.5,65,0,29,6,21
FDC1_0_22,13,0,41,X,22,67.5,65,0,29,6,22
FDC1_0_23,13,0,41,X,23,77.5,65,0,29,6,23
FDC1_0_24,13,0,41,X,24,87.5,65,0,29,6,24
FDC1_0_25,13,0,41,X,25,97.5,65,0,29,6,25
FDC1_0_26,13,0,41,X,26,107.5,65,0,29,6,26
FDC1_0_27,13,0,41,X,27,117.5,65,0,29,6,27
FDC1_0_28,13,0,41,X,28,127.5,65,0,29,6,28
FDC1_0_29,13,0,41,X,29,137.5,65,0,29,6,29
FDC1_0_30,13,0,41,X,30,147.5,65,0,29,6,30
FDC1_0_31,13,0,41,X,31,157.5,65,0,29,6,31
FDC1_1_0,13,1,42,X,0,-157.5,55,0,29,9,63
FDC1_1_1,13,1,42,X,1,-147.5,55,0,29,9,62
FDC1_1_2,13,1,42,X,2,-137.5,55,0,29,9,61
FDC1_1_3,13,1,42,X,3,-127.5,55,0,29,9,60
FDC1_1_4,13,1,42,X,4,-117.5,55,0,29,9,59
FDC1_1_5,13,1,42,X,5,-107.5,55,0,29,9,58
FDC1_1_6,13,1,42,X,6,-97.5,55,0,29,9,57
FDC1_1_7,13,1,42,X,7,-87.5,55,0,29,9,56
FDC1_1_8,13,1,42,X,8,-77.5,55,0,29,9,55
FDC1_1_9,13,1,42,X,9,-67.5,55,0,29,9,54
FDC1_1_10,13,1,42,X,10,-57.5,55,0,29,9,53
FDC1_1_11,13,1,42,X,11,-47.5,55,0,29,9,52
FDC1_1_12,13,1,42,X,12,-37.5,55,0,29,9,51
FDC1_1_13,13,1,42,X,13,-27.5,55,0,29,9,50
FDC1_1_14,13,1,42,X,14,-17.5,55,0,29,9,49
FDC1_1_15,13,1,42,X,15,-7.5,55,0,29,9,48
FDC1_1_16,13,1,42,X,16,2.5,55,0,29,9,47
FDC1_1_17,13,1,42,X,17,12.5,55,0,29,9,46
FDC1_1_18,13,1,42,X,18,22.5,55,0,29,9,45
FDC1_1_19,13,1,42,X,19,32.5,55,0,29,9,44
FDC1_1_20,13,1,42,X,20,42.5,55,0,29,9,43
FDC1_1_21,13,1,42,X,21,52.5,55,0,29,9,42
