NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-1.67049,0.0681035,-2.49803,0.0678947,156.196,0.00925298,199.415,0.011686,32,5,0,5,16,31,3,0,3,16
HODF2,13,-8.26996,0.0668201,-9.36315,0.0668925,110.692,0.00959614,134.738,0.011033,32,5,1,5,17,31,3,1,3,17
HODF3,13,-9.86454,0.0691588,-10.8664,0.0687935,360.565,0.0109038,51.4105,0.0110833,32,5,2,5,18,31,3,2,3,18
HODF4,13,-9.90756,0.0684585,-10.6325,0.0668119,87.7627,0.00978891,132.33,0.0121446,32,5,3,5,19,31,3,3,3,19
HODF5,13,-7.36100,0.0681377,-8.81184,0.0706081,163.885,0.0092362,150.99,0.0123425,32,5,4,5,20,31,3,4,3,20
HODF6,13,-2.94986,0.0686917,-2.90241,0.0684331,86.0756,0.00960641,137.922,0.0116751,32,5,5,5,21,31,3,5,3,21
HODF7,13,-9.08552,0.0690082,-7.01038,0.0674848,214.071,0.00928451,37.0717,0.0103047,32,5,6,5,22,31,3,6,3,22
HODF8,13,-1.63921,0.0692062,-9.48216,0.0696733,176.141,0.0102673,129.941,0.0114409,32,5,7,5,23,31,3,7,3,23
HODF9,13,-9.27826,0.0667901,-9.56562,0.0677957,149.451,0.0103313,195.299,0.0123752,32,5,8,5,24,31,3,8,3,24
HODF10,13,-5.20193,0.0679847,-4.75265,0.0682531,103.075,0.00935832,148.481,0.00974596,32,5,9,5,25,31,3,9,3,25
HODF11,13,-9.1937,0.0676567,-9.57095,0.0679103,342.835,0.0101725,187.665,0.0117812,32,5,10,5,26,31,3,10,3,26
HODF12,13,-8.88445,0.0678279,-9.35376,0.0682707,115.346,0.00966692,55.0004,0.010967,32,5,11,5,27,31,3,11,3,27
HODF13,13,-9.07371,0.0688717,-0.908673,0.0677043,75.2254,0.00975643,90.0396,0.0113549,32,5,12,5,28,31,3,12,3,28
HODF14,13,-10.0178,0.0677767,-0.67663,0.0671599,41.359,0.0100236,321.175,0.0128042,32,5,13,5,29,31,3,13,3,29
HODF15,13,-9.84524,0.0685507,-10.8151,0.0677849,61.6878,0.0105641,107.066,0.0107419,32,5,14,5,30,31,3,14,3,30
HODF16,13,-9.58382,0.0684444,-9.85900,0.0689326,167.485,0.0116506,121.723,0.0113039,32,5,15,5,31,31,3,15,3,31
HODF17,13,-3.24614,0.0680538,-9.96764,0.0679678,223.006,0.0119876,178.759,0.00928424,32,6,0,6,8,31,4,0,4,8
HODF18,13,-0.851623,0.0696012,-7.30437,0.0695076,231.652,0.0118901,173.003,0.0127922,32,6,1,6,9,31,4,1,4,9
HODF19,13,-4.87628,0.06889,-9.75491,0.0704274,223.966,0.0122801,188.251,0.0126947,32,6,2,6,10,31,4,2,4,10
HODF20,13,-4.74927,0.0693353,-2.34037,0.068342,97.1698,0.0134216,140.361,0.0121061,32,6,3,6,11,31,4,3,4,11
HODF21,13,-2.02631,0.0694755,-2.75522,0.068797,209.346,0.0122867,224.618,0.0121258,32,6,4,6,12,31,4,4,4,12
HODF22,13,-6.26256,0.0693064,-2.14227,0.0682735,174.141,0.0142833,162.31,0.0122925,32,6,5,6,13,31,4,5,4,13
HODF23,13,-7.28619,0.0687162,-2.69726,0.0699521,182.754,0.0130969,124.328,0.0134058,32,6,6,6,14,31,4,6,4,14
HODF24,13,-1.43638,0.0689191,-2.81821,0.0691658,170.761,0.0147706,243.736,0.0131769,32,6,7,6,15,31,4,7,4,15
